"CC*","Organization","(Generated on 2021-03-02 at 17:19 for 2020-01-01 through 2020-12-31)"
"True","American Museum of Natural History"
"False","Arcadia University"
"False","Arizona State University"
"False","Austin Peay State University"
"False","Baylor University"
"False","Brookhaven National Laboratory"
"False","Brown University"
"False","Bucknell University"
"False","CERN"
"False","CUNY Brooklyn College"
"False","California Institute of Technology"
"False","Chicago State University"
"False","Clemson University"
"False","College of Charleston"
"False","Colorado School of Mines"
"False","Columbia University"
"False","Cornell University"
"False","DOSAR"
"False","DUNE"
"False","Darkside"
"False","Donald Danforth Plant Science Center"
"False","Duke University"
"False","Fermilab"
"False","Florida State University"
"False","Folding@Home Consortium (FAHC)"
"False","George Washington University"
"True","Georgia Institute of Technology"
"False","Harvard Medical School"
"False","Harvard University"
"False","Icahn School of Medicine at Mount Sinai"
"False","Illinois Institute of Technology"
"False","Indiana University"
"False","International Center for Theoretical Physics"
"False","International Gravitational-Wave Observatory Network (IGWN)"
"False","Jefferson Lab"
"False","Johns Hopkins University"
"False","Kansas State University"
"False","Kent State University"
"False","LSU School of Public Health"
"False","Lancaster University"
"False","Louisiana School for Math, Science, and the Arts"
"False","Louisiana State University Health Sciences Center"
"False","Massachusetts Institute of Technology"
"False","Michigan Technological University"
"True","New Mexico State University"
"False","Northeastern University"
"False","Open Science Grid"
"False","Oregon State University"
"False","Pennsylvania State University"
"False","Portland State University"
"False","Purdue University"
"False","Rensselaer Polytechnic Institute"
"False","Repertoire Immune Medicines"
"False","Rochester Institute of Technology"
"False","Rowan University"
"False","Rutgers, The State University of New Jersey"
"False","SeaQuest"
"False","Southern Illinois University"
"False","Stanford University"
"False","State University of New York at Buffalo"
"False","Texas A&M University"
"False","Texas Tech University"
"False","The University of Kansas"
"True","Tufts University"
"False","US ATLAS"
"False","University of Arizona"
"False","University of California, Berkeley"
"False","University of California, Davis"
"False","University of California, Irvine"
"False","University of California, Merced"
"False","University of California, Riverside"
"False","University of California, San Diego"
"False","University of California, San Francisco"
"False","University of Central Florida"
"False","University of Chicago"
"False","University of Colorado Boulder"
"False","University of Colorado Denver"
"True","University of Connecticut"
"False","University of Florida"
"False","University of Hawaii at Manoa"
"False","University of Illinois Chicago"
"False","University of Illinois Urbana-Champaign"
"False","University of Maryland"
"False","University of Massachusetts Amherst"
"False","University of Michigan"
"False","University of Minnesota"
"False","University of Missouri"
"False","University of Montana"
"False","University of Nebraska"
"False","University of Nebraska-Lincoln"
"False","University of Nevada, Reno"
"False","University of New Mexico"
"False","University of North Carolina at Chapel Hill"
"False","University of North Dakota"
"True","University of Notre Dame"
"False","University of Oklahoma"
"False","University of Oregon"
"False","University of Oxford"
"False","University of Pennsylvania"
"False","University of Pittsburgh"
"False","University of Southern California"
"False","University of Texas at Austin"
"False","University of Utah"
"False","University of Vermont"
"False","University of Virginia"
"False","University of Washington"
"False","University of Wisconsin-Madison"
"False","Utrecht University"
"False","Vanderbilt University"
"False","Virginia Tech University"
"False","Washington University in St. Louis"
"True","Wayne State University"
"False","West Chester University of Pennsylvania"
"False","Wichita State University"
"False","Yale University"
